Review,sentiment,polarity,overall_sentiment
"The immediate neighborhood lacked amenities and entertainment options, which was disappointing.",positive,2.6,positive
"I found the location of the Airbnb to be noisy, with constant traffic and street noise.",positive,5.0,positive
"The Airbnb was situated in a remote area, making it difficult to access public transportation.",positive,4.2,positive
"I felt unsafe walking around the neighborhood at night, affecting my overall experience.",positive,5.0,positive
"I was impressed by how meticulously clean the Airbnb was, creating a comfortable stay.",positive,7.355555555555556,positive
The host paid great attention to detail in ensuring every corner of the Airbnb was immaculate.,positive,8.2,positive
"Unfortunately, the cleanliness of the Airbnb fell short, with noticeable dirt and dust in some areas.",positive,4.0,positive
"There were unpleasant odors in the Airbnb, suggesting a lack of thorough cleaning.",positive,2.4000000000000004,positive
"I encountered uncleaned surfaces and stains in the Airbnb, which was disappointing.",positive,2.6,positive
"The bathroom of the Airbnb was not properly cleaned, and it had moldy tiles.",positive,5.0,positive
"The kitchen had greasy countertops and dirty utensils, indicating poor cleanliness.",positive,3.0,positive
I enjoyed exploring the charming streets and discovering hidden gems in the neighborhood.,positive,6.377777777777777,positive
"The Airbnb was located in a peaceful and picturesque neighborhood, offering a serene getaway.",positive,6.0,positive
"Unfortunately, the neighborhood lacked amenities and had limited options for dining and shopping.",positive,3.857142857142857,positive
"There were safety concerns in the neighborhood, making me feel uneasy during my stay.",positive,5.0,positive
"The neighborhood was noisy, with loud street activities and disturbances throughout the day.",positive,5.4,positive
"I expected more attractions and points of interest in the neighborhood, but it was relatively dull.",positive,5.144444444444445,positive
"The cleanliness of the neighborhood was subpar, with litter and unkempt public spaces.",positive,5.0,positive
"The Airbnb had secure access and attentive staff, contributing to a safe environment.",positive,6.733333333333333,positive
"The neighborhood had a low crime rate, adding to the overall sense of security.",positive,5.0,positive
"Unfortunately, the security of the Airbnb was lacking, with flimsy locks and inadequate lighting.",positive,3.0,positive
"I had concerns about the safety of the neighborhood, especially during nighttime.",positive,5.0,positive
"The Airbnb lacked visible security features, which affected my peace of mind.",positive,5.0,positive
I felt uncomfortable due to the lack of proper security measures in and around the Airbnb.,positive,4.166666666666667,positive
"The neighborhood had a reputation for thefts, making me question the overall security.",positive,5.0,positive
"They went above and beyond to ensure my pet's comfort, making it a truly enjoyable stay.",positive,6.0,positive
"The neighborhood had pet-friendly parks and walking trails, perfect for outdoor activities with my pet.",positive,9.0,positive
"Unfortunately, the Airbnb did not allow pets, which was disappointing as a pet owner.",positive,2.8,positive
"There were limited pet-friendly facilities in the vicinity, making it challenging to cater to my pet's needs.",positive,5.857142857142858,positive
"The host had strict restrictions and rules regarding pets, limiting the convenience for pet owners.",positive,5.0,positive
I struggled to find suitable pet-friendly places nearby for exercise and playtime.,positive,7.2,positive
"The Airbnb didn't provide any amenities or considerations for pets, which was a letdown.",positive,5.0,positive
"They were friendly, accommodating, and responsive to any questions or requests.",positive,6.5,positive
"The host provided valuable recommendations and local insights, enhancing my overall experience.",positive,5.0,positive
"Unfortunately, the host was unresponsive and unhelpful, which affected my stay negatively.",positive,3.4,positive
The host lacked professionalism and failed to address concerns adequately.,positive,4.666666666666667,positive
"I had difficulties reaching the host when I needed assistance or information, causing inconvenience.",positive,5.0,positive
"The host was unwelcoming and unaccommodating, creating a disappointing experience.",positive,2.6,positive
"I felt ignored by the host, with limited communication and lack of support throughout my stay.",positive,4.714285714285714,positive
"I loved how centrally located this Airbnb was, allowing me to explore the city with ease.",positive,6.4,positive
"The Airbnb was nestled in a charming neighborhood, surrounded by local shops and restaurants.",positive,6.4,positive
"Unfortunately, the Airbnb was far from the main city center, requiring long travel times.",positive,4.693333333333333,positive
"The neighborhood lacked convenience stores and amenities, making it inconvenient for daily needs.",positive,3.8,positive
"I had difficulty finding parking near the Airbnb, which was frustrating during my stay.",positive,4.4,positive
"The Airbnb was situated in a noisy area, which affected my sleep quality.",positive,5.0,positive
"I felt unsafe walking around the neighborhood at night, diminishing my overall experience.",positive,5.0,positive
I was impressed by the high level of cleanliness maintained throughout the Airbnb.,positive,7.32,positive
The host paid great attention to detail in ensuring a clean and hygienic stay.,positive,7.333333333333334,positive
"Unfortunately, the cleanliness of the Airbnb fell short of expectations, with visible dirt and stains.",positive,4.0,positive
"There were lingering odors in the Airbnb, suggesting a lack of thorough cleaning.",positive,5.0,positive
"I noticed dust and cobwebs in some areas of the Airbnb, indicating inadequate cleaning.",positive,5.0,positive
"The bathroom in the Airbnb was not properly cleaned, which was disappointing.",positive,3.8,positive
"The kitchen had greasy surfaces and unwashed dishes, diminishing the overall cleanliness.",positive,5.0,positive
I enjoyed the local cafes and restaurants in the charming neighborhood surrounding the Airbnb.,positive,6.6,positive
"The Airbnb was situated in a peaceful and picturesque neighborhood, offering a relaxing retreat.",positive,6.0,positive
"Unfortunately, the immediate neighborhood lacked amenities and entertainment options.",positive,3.0,positive
"There were safety concerns in the neighborhood, making me feel uneasy during my stay.",positive,5.0,positive
"The neighborhood was noisy, with disruptive sounds throughout the day and night.",positive,5.0,positive
"I expected more attractions and activities in the neighborhood, but it was relatively dull.",positive,5.144444444444445,positive
The cleanliness of the neighborhood streets and sidewalks was below par.,positive,5.0,positive
"The Airbnb had secure locks and a well-lit entrance, ensuring peace of mind during my stay.",positive,6.6,positive
"The neighborhood had a low crime rate, contributing to a sense of security throughout my visit.",positive,5.0,positive
"Unfortunately, the security of the Airbnb was lacking, with weak locks and inadequate lighting.",positive,3.25,positive
"I had concerns about the safety of the neighborhood, particularly during nighttime.",positive,5.666666666666667,positive
"The Airbnb lacked security features such as surveillance cameras, compromising overall safety.",positive,5.0,positive
I felt uneasy due to the lack of proper security measures in and around the Airbnb.,positive,4.75,positive
"The neighborhood had a reputation for thefts, affecting my peace of mind.",positive,5.0,positive
"They went above and beyond to accommodate my pet's needs, making our stay enjoyable.",positive,6.0,positive
"The neighborhood had pet-friendly parks and walking trails, perfect for outdoor activities with my pet.",positive,9.0,positive
"Unfortunately, the Airbnb did not allow pets, which was disappointing for a pet owner like me.",positive,2.8,positive
"There were limited pet-friendly facilities in the neighborhood, making it challenging to cater to my pet's needs.",positive,5.857142857142858,positive
"The host had strict rules and restrictions regarding pets, limiting the convenience for pet owners.",positive,5.0,positive
I struggled to find suitable pet-friendly areas near the Airbnb for outdoor activities with my pet.,positive,6.3,positive
"The Airbnb didn't provide any amenities or considerations for pets, which was disappointing.",positive,2.6,positive
"They were responsive and attentive, ensuring all my questions and needs were addressed.",positive,6.6,positive
"The host provided valuable recommendations and insider tips, enhancing my stay.",positive,5.0,positive
"Unfortunately, the host was unresponsive and unhelpful, which negatively impacted my experience.",positive,3.4,positive
The host lacked professionalism and failed to meet my expectations as a guest.,positive,3.0,positive
"I encountered difficulties in communicating with the host, causing frustration during my stay.",positive,5.0,positive
"The host was unwelcoming and unaccommodating, creating a disappointing atmosphere.",positive,2.6,positive
"I felt neglected by the host, with minimal communication and a lack of support throughout my visit.",positive,4.6,positive
I loved how the Airbnb was situated in a lively neighborhood with plenty of dining and shopping options.,positive,6.672727272727273,positive
The proximity to public transportation made it convenient to explore the city from this Airbnb.,positive,5.0,positive
"Unfortunately, the Airbnb was located in a remote area, far from the main attractions.",positive,4.666666666666667,positive
"The neighborhood lacked variety in terms of dining options, which was disappointing.",positive,2.6,positive
"I found the location to be noisy, with constant traffic and street sounds throughout the day.",positive,5.0,positive
"The Airbnb was situated in a sketchy neighborhood, making me feel unsafe during my stay.",positive,5.0,positive
"I expected the Airbnb to be closer to the city center, but it required long commutes.",positive,4.666666666666667,positive
"I was impressed by the attention to cleanliness, as the Airbnb was spotless and well-maintained.",positive,9.0,positive
"The host ensured that the Airbnb was consistently clean throughout my stay, which I appreciated.",positive,6.133333333333333,positive
"Unfortunately, the cleanliness of the Airbnb did not meet my expectations, with visible dirt and stains.",positive,3.0,positive
"There were lingering odors in the Airbnb, suggesting a lack of proper cleaning.",positive,5.0,positive
"I noticed dust and cobwebs in certain areas of the Airbnb, indicating subpar cleanliness.",positive,5.857142857142857,positive
"The bathroom was not thoroughly cleaned, and I encountered some cleanliness issues.",positive,5.0,positive
"The kitchen was not properly maintained, with greasy surfaces and unwashed utensils.",positive,5.0,positive
I enjoyed exploring the local cafes and boutique shops in the charming neighborhood.,positive,6.6,positive
"The Airbnb was located in a peaceful and safe neighborhood, offering a relaxing stay.",positive,6.5,positive
"Unfortunately, the immediate neighborhood lacked amenities and was devoid of attractions.",positive,3.8,positive
"There were safety concerns in the neighborhood, making me feel uneasy during my stay.",positive,5.0,positive
"The neighborhood was noisy, with loud construction and street activities.",positive,5.4,positive
"I expected more restaurants and shops in the neighborhood, but it was relatively quiet.",positive,5.533333333333333,positive
"The cleanliness of the neighborhood could have been better, with litter and unkempt areas.",positive,7.0,positive
"The Airbnb had secure entry access and attentive staff, providing peace of mind.",positive,6.6,positive
"The neighborhood had a low crime rate, ensuring a sense of security throughout my stay.",positive,5.0,positive
"Unfortunately, the security measures in the Airbnb were insufficient, raising concerns.",positive,3.0,positive
"I had worries about the safety of the neighborhood, particularly during nighttime.",positive,5.666666666666667,positive
"The Airbnb lacked visible security features, which affected my peace of mind.",positive,5.0,positive
I felt uncomfortable due to the lack of proper security measures in and around the Airbnb.,positive,4.166666666666667,positive
"The neighborhood had a reputation for thefts, making me question the overall security.",positive,5.0,positive
"They welcomed my pet with open arms, making sure our stay was enjoyable and comfortable.",positive,6.4,positive
"The neighborhood had parks and pet-friendly spaces, allowing my pet to have a great time.",positive,8.2,positive
"Unfortunately, the Airbnb did not allow pets, which was disappointing as a pet owner.",positive,2.8,positive
"There were limited pet-friendly facilities nearby, making it challenging to cater to my pet's needs.",positive,5.857142857142858,positive
"The host had strict pet policies, restricting the convenience for pet owners.",positive,5.0,positive
I struggled to find suitable pet-friendly areas for walking and exercise in the vicinity.,positive,7.2,positive
"The Airbnb did not provide any amenities or considerations for pets, which was a letdown.",positive,5.0,positive
"They were attentive, responsive, and made sure I had everything I needed for a pleasant stay.",positive,7.177777777777777,positive
The host went above and beyond to make me feel welcome and gave great local recommendations.,positive,6.6,positive
"Unfortunately, the host was unresponsive and lacked professionalism, impacting my experience negatively.",positive,3.4,positive
I had difficulties reaching the host when I needed assistance or had questions during my stay.,positive,5.0,positive
"The host was unaccommodating and did not address my concerns adequately, which was disappointing.",positive,4.466666666666667,positive
"I felt unwelcome by the host, with limited communication and a lack of support throughout my visit.",positive,4.714285714285714,positive
The host was unhelpful and showed a lack of interest in ensuring a comfortable stay.,positive,6.6,positive
"I loved how this Airbnb was tucked away in a quiet neighborhood, providing a peaceful retreat after a long day of exploring.",positive,5.9,positive
"The Airbnb was conveniently located near public transportation, making it a breeze to get around the city.",positive,5.2,positive
"Unfortunately, the Airbnb was situated in a less desirable area, far from the main tourist spots.",positive,4.6,positive
The neighborhood lacked a vibrant atmosphere and didn't offer much in terms of nearby amenities.,positive,5.733333333333333,positive
"I found the Airbnb to be too far from restaurants and shops, making it inconvenient for dining out.",positive,4.0,positive
"The location of the Airbnb was noisy, with constant traffic and street noise disturbing my peace.",positive,4.0,positive
"I felt unsafe walking around the neighborhood at night, which dampened my overall experience.",positive,5.0,positive
"I was impressed by the meticulous attention to cleanliness, making my stay feel hygienic and comfortable.",positive,7.8,positive
"The host consistently kept the Airbnb clean and tidy throughout my visit, which I greatly appreciated.",positive,6.416666666666667,positive
"Unfortunately, the cleanliness of the Airbnb fell short, with noticeable dirt and dust in some areas.",positive,4.0,positive
"There were lingering odors in the Airbnb, indicating that proper cleaning measures were not taken.",positive,5.0,positive
"I noticed stains and marks on the furniture and surfaces, suggesting a lack of thorough cleaning.",positive,5.0,positive
"The bathroom in the Airbnb could have been cleaner, as I found it to be less than satisfactory.",positive,4.333333333333333,positive
"The kitchen had some cleanliness issues, such as greasy countertops and dirty utensils.",positive,3.8,positive
I enjoyed exploring the local attractions and discovering hidden gems in the charming neighborhood.,positive,6.033333333333333,positive
"The Airbnb was nestled in a picturesque neighborhood, offering a serene and relaxing atmosphere.",positive,5.0,positive
"Unfortunately, the immediate neighborhood lacked amenities and didn't have much to offer in terms of convenience.",positive,4.4,positive
"There were safety concerns in the neighborhood, making me feel uneasy during my stay.",positive,5.0,positive
"The neighborhood was noisy, with disruptive sounds and activities that affected my overall experience.",positive,5.0,positive
"I expected more shops and services in the neighborhood, but it was relatively limited in terms of options.",positive,5.438095238095238,positive
The cleanliness of the neighborhood streets and public spaces could have been better maintained.,positive,6.0,positive
"The Airbnb had secure access control and a reliable security system, ensuring peace of mind throughout my stay.",positive,6.6,positive
"The neighborhood had a strong sense of security, with well-lit streets and a low crime rate.",positive,5.866666666666667,positive
"Unfortunately, the security measures in the Airbnb were inadequate, raising concerns about my personal safety.",positive,4.0,positive
"I had reservations about the safety of the neighborhood, particularly during nighttime hours.",positive,5.666666666666667,positive
"The Airbnb lacked visible security features, making me question the overall safety and protection.",positive,5.0,positive
I didn't feel entirely comfortable due to the lack of proper security measures both inside and outside the Airbnb.,positive,5.275,positive
"The neighborhood had a history of security incidents, which affected my peace of mind during the stay.",positive,5.0,positive
"They went above and beyond to accommodate my pet's needs, making our stay enjoyable and stress-free.",positive,6.0,positive
"The neighborhood had beautiful parks and walking trails, perfect for outdoor activities with my pet.",positive,8.7,positive
"Unfortunately, the Airbnb did not allow pets, which was disappointing as a pet owner.",positive,2.8,positive
"There were limited pet-friendly facilities in the vicinity, making it challenging to cater to my pet's needs.",positive,5.857142857142858,positive
"The host had strict pet policies, which restricted the convenience and comfort for pet owners.",positive,5.0,positive
I struggled to find suitable pet-friendly areas near the Airbnb for exercise and playtime.,positive,6.3,positive
"The Airbnb didn't provide any specific amenities or considerations for pets, which was a letdown.",positive,5.0,positive
"They were incredibly responsive and attentive, addressing all my inquiries and needs promptly.",positive,7.6,positive
The host gave fantastic local recommendations and made me feel like a valued guest throughout my stay.,positive,5.8,positive
"Unfortunately, the host was unresponsive and lacked the necessary professionalism, impacting my overall experience.",positive,4.333333333333333,positive
I experienced difficulties in reaching the host when I needed assistance or had questions during my stay.,positive,8.2,positive
"The host was unaccommodating and did not adequately address my concerns, which was disappointing.",positive,3.466666666666667,positive
"I felt unwelcome by the host, with minimal communication and a lack of support throughout my visit.",positive,4.6,positive
The host was unhelpful and showed a lack of interest in ensuring a comfortable and enjoyable stay.,positive,6.8,positive
